"Density
(P/Km2)",Agricultural Land( %),Armed Forces size,Co2-Emissions,CPI,Gasoline Price,GDP,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Infant mortality,Minimum wage,Out of pocket health expenditure,Physicians per thousand,Population: Labor force participation (%),Tax revenue (%),Total tax rate,Unemployment rate,Urban_population,Latitude,Longitude,Deforestation_Critical
4.04305126783455,20.6,10.085850775128716,9.02304647355567,4.784570814354383,1.03,24.380666673277187,103.4,12.8,3.943521672487517,0.3001045924503381,69.7,0.09,76.1,12.8,57.7,3.38,16.50616071924417,7.369722,12.354722,1
1.6094379124341005,6.9,11.184435286790633,13.208348394533495,4.7686486549805664,0.81,28.182849880410927,100.9,68.9,1.6677068205580765,2.35232718488886,14.6,2.61,65.1,12.8,24.5,5.56,17.237440950974573,56.130366,-106.346771,0
2.19722457733622,8.2,8.987321812850125,5.697093486505405,5.2356970045663696,1.41,21.52091147820155,102.0,3.0,4.448516375942715,0.3148107398400336,39.6,0.06,72.0,8.6,73.3,3.68,14.499649788490728,6.611111,20.939444,0
2.6390573296152584,39.7,10.463131911491969,6.92461239604856,4.776599301615622,0.78,23.149390815890097,86.8,3.3,4.282206299391671,0.4700036292457357,56.4,0.04,70.7,15.97659574468085,63.5,1.89,15.127155184819234,15.454166,18.732207,1
3.295836866004329,21.2,11.711784520403112,11.360042314821044,4.889672207433241,1.03,26.36630049796546,101.4,88.5,1.9740810260220096,1.0986122886681098,32.2,2.59,62.6,18.2,34.0,7.09,16.62552366939461,-35.675147,-71.542969,0
5.0369526024136295,56.2,14.80690913338268,16.107341936478928,4.836916626109569,0.96,30.622243234004703,100.2,50.6,2.128231705849268,0.6259384308664954,32.4,1.98,68.0,9.4,59.2,4.32,20.55239917719192,35.86166,104.195397,0
3.8501476017100575,40.3,13.083624628087817,11.490833218495412,4.95547488291898,0.68,26.503400550508733,114.5,55.3,2.580216829592325,0.8020015854720274,18.3,2.18,68.8,14.4,71.2,9.71,17.524861606742288,4.570868,-74.297333,0
6.148468295917647,71.5,10.357774570341576,5.313205979041787,4.650334737942465,1.0253535353535357,20.893623340692272,99.5,9.0,3.956996371070877,0.5364933705145686,74.8,0.27,43.3,15.97659574468085,104.95500000000008,4.34,12.421800770404529,-11.6455,43.3333,0
4.61512051684126,34.5,9.210440366976515,8.990192329641772,4.866379938108757,0.98,24.84674749721408,113.3,55.2,2.151762203259462,1.043804052173115,21.5,2.89,62.1,13.6,58.3,11.85,15.212221972688493,9.748917,-83.753428,0
4.30406509320417,27.6,9.798182590890704,9.769327390849192,4.707907263439203,1.26,24.824512409401827,96.5,67.9,1.6094379124341005,1.366091653802371,15.2,3.0,51.2,22.0,20.5,6.93,14.660657105937466,45.1,15.2,0
